"","ENSEMBL","ENTREZID","SYMBOL","TXCHROM","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000099337","ENSG00000099337","9424","KCNK6","chr19",-0.342505715693158,4.32873255639552,-9.50420763141946,4.60130596602865e-18,4.63917825359519e-15,30.4363429938811
"ENSG00000137818","ENSG00000137818","6176","RPLP1","chr15",-0.873184789680567,6.74342417089092,-9.41671372727853,8.2833621637886e-18,7.75500199148408e-15,29.8566630369876
"ENSG00000138670","ENSG00000138670","153020","RASGEF1B","chr4",0.448337166176236,4.52518653655035,9.3874258521019,1.00802355150778e-17,8.80810979307501e-15,29.6669122781709
"ENSG00000175591","ENSG00000175591","5029","P2RY2","chr11",-0.782647057105032,1.87659595302045,-9.34809932605673,1.31158431145259e-17,1.07443347313807e-14,29.1936196853029
"ENSG00000103056","ENSG00000103056","55512","SMPD3","chr16",-1.07627997461766,2.0513535122577,-9.26592035037942,2.27030485995174e-17,1.75040504702279e-14,28.7328098711194
"ENSG00000101160","ENSG00000101160","1522","CTSZ","chr20",-0.444687450201118,7.17986587229662,-9.24131960656865,2.67456719637662e-17,1.94753068016157e-14,28.7095433372427
"ENSG00000135486","ENSG00000135486","3178","HNRNPA1","chr12",-0.558586293047584,6.7990365454007,-9.23101231211391,2.86450522349683e-17,1.97605631391437e-14,28.6402038344723
"ENSG00000004799","ENSG00000004799","5166","PDK4","chr7",0.775852316095115,5.02100309381858,9.14843154070078,4.95774848650527e-17,3.24906047063123e-14,28.1014109772012
"ENSG00000108819","ENSG00000108819","84687","PPP1R9B","chr17",-0.449114409650607,6.27528883893873,-9.08441928314039,7.57436605571483e-17,4.72748647105973e-14,27.6839433178644
"ENSG00000213085","ENSG00000213085","25790","CFAP45","chr1",0.948152972420835,2.93666647651081,8.98465862043825,1.46258877849538e-16,8.71370505442682e-14,27.0183122338493
"ENSG00000183134","ENSG00000183134","11251","PTGDR2","chr11",-1.15147176828118,2.07829622618883,-8.96045842303005,1.71492596754458e-16,9.77284115504641e-14,26.8001443651835
"ENSG00000160087","ENSG00000160087","118424","UBE2J2","chr1",-0.235319494220611,5.11862703510016,-8.8841213413514,2.82985203735294e-16,1.54545294389938e-13,26.39229064223
"ENSG00000151694","ENSG00000151694","6868","ADAM17","chr2",0.398499499463401,6.56750891211868,8.83668896282178,3.85934859305364e-16,2.02337928036616e-13,26.0881021210734
"ENSG00000278099","ENSG00000278099","6063","RNVU1-2A",NA,-1.17958709150064,6.55634558766416,-8.77131495110857,5.91175703899797e-16,2.98020767346717e-13,25.673412260574
"ENSG00000135390","ENSG00000135390","517","ATP5MC2","chr12",-0.367018461769424,5.5647589907363,-8.71943674534476,8.28424044605905e-16,4.02153850098133e-13,25.3375776430205
"ENSG00000096093","ENSG00000096093","114327","EFHC1","chr6",0.562833268171402,3.91375908976431,8.656456326851,1.24630754683484e-15,5.83405464870153e-13,24.9651997885893
"ENSG00000134248","ENSG00000134248","10542","LAMTOR5","chr1",-0.421187285273701,4.71499346574983,-8.65052512501909,1.29508861612743e-15,5.85335396261457e-13,24.9076926052023
"ENSG00000119655","ENSG00000119655","10577","NPC2","chr14",-0.436632403355286,5.92056344585947,-8.60356001871051,1.75447938173504e-15,7.41805201819394e-13,24.6029766604635
"ENSG00000162881","ENSG00000162881","165140","OXER1","chr2",-0.683905076800717,2.11548110545441,-8.59223073821269,1.88757783752667e-15,7.73140084889439e-13,24.467083995225
"ENSG00000026508","ENSG00000026508","960","CD44","chr11",0.374814010826078,8.90932343924663,8.56367867858242,2.2690958570985e-15,9.01243618151213e-13,24.3772768692373
"ENSG00000178982","ENSG00000178982","27335","EIF3K","chr19",-0.458808027301152,6.0914668664759,-8.51670694945205,3.06980308397392e-15,1.18340908887195e-12,24.055771848438
"ENSG00000163659","ENSG00000163659","25976","TIPARP","chr3",0.331063331879339,6.34376729404307,8.50182924984427,3.37765281496629e-15,1.2648827270218e-12,23.9620195282259
"ENSG00000239961","ENSG00000239961","23547","LILRA4","chr19",-0.841186563002339,0.405609168150299,-8.64153106128951,1.37269621488959e-15,5.99730976285261e-13,23.84494200956
"ENSG00000160888","ENSG00000160888","9592","IER2","chr19",-0.415954521892443,5.7152090361744,-8.47873236903364,3.91725396653455e-15,1.42620688164912e-12,23.8157186184363
"ENSG00000170906","ENSG00000170906","4696","NDUFA3","chr19",-0.386029918191319,3.93461537603973,-8.4451557212847,4.85744184252574e-15,1.72071595216175e-12,23.6312744126702
"ENSG00000171161","ENSG00000171161","79894","ZNF672","chr1",-0.273753501149573,4.38747471701805,-8.40217151573705,6.39374278065706e-15,2.20533649015979e-12,23.3513316117552
"ENSG00000196511","ENSG00000196511","27010","TPK1","chr7",0.421296205694444,5.60638448460639,8.3822839742286,7.25899238823888e-15,2.43957982647813e-12,23.2112985231857
"ENSG00000116221","ENSG00000116221","51253","MRPL37","chr1",-0.355388098398156,3.43250151951691,-8.34125122742077,9.42774958915102e-15,3.01389058207323e-12,22.9968707022094
"ENSG00000130724","ENSG00000130724","27243","CHMP2A","chr19",-0.553621782662269,5.44880089558828,-8.32988445309199,1.01347067318102e-14,3.13368278129118e-12,22.8857859367215
"ENSG00000175756","ENSG00000175756","54998","AURKAIP1","chr1",-0.405811511610318,4.72246182566169,-8.32763614533957,1.02806408480599e-14,3.13368278129118e-12,22.8792635719114
"ENSG00000125780","ENSG00000125780","7053","TGM3","chr20",-0.981850243411898,2.62660758154287,-8.32119964587746,1.07100375534522e-14,3.19037414120676e-12,22.8630375213281
"ENSG00000134531","ENSG00000134531","2012","EMP1","chr12",1.34805077285749,1.08286802384386,8.34280905894728,9.33474801924809e-15,3.01389058207323e-12,22.2966757824867
"ENSG00000187808","ENSG00000187808","347454","SOWAHD","chrX",-0.469445148736701,3.12394561162016,-8.21794845112072,2.06040779967542e-14,5.87081848485775e-12,22.2398636236484
"ENSG00000099783","ENSG00000099783","4670","HNRNPM","chr19",-0.323750919148284,6.00623435523347,-8.22452712655122,1.97651059466637e-14,5.75691652539824e-12,22.2316560012619
"ENSG00000080298","ENSG00000080298","5991","RFX3","chr9",0.308910869488018,6.15980247535738,8.19419576861919,2.39375383562925e-14,6.67551734544522e-12,22.04389551577
"ENSG00000102978","ENSG00000102978","5432","POLR2C","chr16",-0.303625370578395,5.69165682240551,-8.18960516021719,2.46408448799796e-14,6.72849070503944e-12,22.0150701107711
"ENSG00000127125","ENSG00000127125","79717","PPCS","chr1",-0.312110630093347,4.62957124639986,-8.15778830434228,3.01108851175647e-14,8.05435451501879e-12,21.8298140393061
"ENSG00000064763","ENSG00000064763","55711","FAR2","chr12",0.490241818516251,6.06254543896618,8.13633332188584,3.44620717932328e-14,8.85675245086084e-12,21.6865954250856
"ENSG00000170234","ENSG00000170234","114825","PWWP2A","chr5",-0.196554902899774,5.69095322571524,-8.12524505291596,3.69492852658095e-14,9.31335157651856e-12,21.6183933579914
"ENSG00000135930","ENSG00000135930","9470","EIF4E2","chr2",-0.208789995697231,5.79359118834034,-8.112695107339,3.99793314064699e-14,9.70387216193705e-12,21.5413940584143
"ENSG00000174776","ENSG00000174776","151790","WDR49","chr3",0.793664001902171,2.90948290730615,8.09437580660001,4.4849068886701e-14,1.06879408345089e-11,21.48281907883
"ENSG00000134107","ENSG00000134107","8553","BHLHE40","chr3",0.523236804357575,4.84921796615451,8.0549930500029,5.73952245172513e-14,1.34335572812074e-11,21.1974706704492
"ENSG00000124226","ENSG00000124226","55905","RNF114","chr20",-0.231062831463587,6.20518338752254,-8.04579375601204,6.07939520734604e-14,1.39794092952078e-11,21.1333100933582
"ENSG00000101084","ENSG00000101084","55969","RAB5IF","chr20",-0.438511269366941,4.0248577862541,-8.03033764627967,6.69584991003148e-14,1.51314663397901e-11,21.0670839544445
"ENSG00000132467","ENSG00000132467","57050","UTP3","chr4",-0.455966594735693,3.95765961662494,-8.02049167230178,7.1204076976649e-14,1.58181667276769e-11,21.009075683553
"ENSG00000171368","ENSG00000171368","11076","TPPP","chr5",0.94449125707149,0.685290908540614,8.1414644230876,3.3367946430021e-14,8.74707347716571e-12,20.9644645859417
"ENSG00000134198","ENSG00000134198","10100","TSPAN2","chr1",0.625176771967266,5.90969268673693,7.99098464828079,8.55892674007792e-14,1.86969754637002e-11,20.7965045568275
"ENSG00000170345","ENSG00000170345","2353","FOS","chr14",0.531863031657975,6.98766741894576,7.96019730829535,1.03667306115762e-13,2.22748751026113e-11,20.6167895081854
"ENSG00000163636","ENSG00000163636","9861","PSMD6","chr3",-0.186962367837983,6.02314647718656,-7.95604321741455,1.06379605744762e-13,2.24889918144612e-11,20.5847445370618
"ENSG00000155090","ENSG00000155090","7071","KLF10","chr8",0.455738242718515,3.55296097738838,7.92678415458774,1.27578270611337e-13,2.65423554429014e-11,20.4601304851159
"ENSG00000205927","ENSG00000205927","10215","OLIG2","chr21",-1.48321189586054,-0.146599539958507,-8.12006209549615,3.81720549914179e-14,9.44002122212292e-12,20.4564959290659
"ENSG00000116983","ENSG00000116983","51440","HPCAL4","chr1",0.699822830298947,2.56887643067649,7.91046068836446,1.41169227847834e-13,2.84662318369472e-11,20.3594668750734
"ENSG00000136161","ENSG00000136161","1102","RCBTB2","chr13",-0.30009502317272,6.69997530976172,-7.91430138762877,1.37847922701429e-13,2.82308237944943e-11,20.337648598386
"ENSG00000184221","ENSG00000184221","116448","OLIG1","chr21",-0.684119565051137,1.84603398572888,-7.88948588863833,1.60754146571815e-13,3.192431210783e-11,20.1716290997211
"ENSG00000113522","ENSG00000113522","10111","RAD50","chr5",0.370956566525777,2.63739414352474,7.87069291668884,1.80571654048421e-13,3.48051863178332e-11,20.1305160933014
"ENSG00000214046","ENSG00000214046","79086","SMIM7","chr19",-0.197505864526134,4.94206341915888,-7.87754490546312,1.73080796737858e-13,3.38592537737777e-11,20.1138990685364
"ENSG00000250696","ENSG00000250696","105377267","LOC105377267",NA,-1.49232540231753,1.24394052493339,-7.86094405047141,1.91785343325527e-13,3.64308767386621e-11,19.8893381499027
"ENSG00000146122","ENSG00000146122","23500","DAAM2","chr6",2.08787439479464,2.67661877848006,7.83871309126933,2.19998708898812e-13,4.06130010920666e-11,19.8407560423711
"ENSG00000155659","ENSG00000155659","11326","VSIG4","chrX",1.71675473876393,2.03294771973655,7.8508357141066,2.0414009908115e-13,3.82237754093805e-11,19.8184670183118
"ENSG00000090487","ENSG00000090487","51324","SPG21","chr15",-0.237285081532983,6.43363555146904,-7.82402556667528,2.40852725959639e-13,4.38452316549026e-11,19.7889329114637
"ENSG00000134072","ENSG00000134072","8536","CAMK1","chr3",-0.534562210261751,3.78794541466796,-7.79795395055775,2.82796124746697e-13,5.0775463110342e-11,19.6668945385637
"ENSG00000173846","ENSG00000173846","1263","PLK3","chr1",0.473333048673978,4.18005188377363,7.78803702947466,3.00581176620869e-13,5.31869430475374e-11,19.602546003582
"ENSG00000102781","ENSG00000102781","84056","KATNAL1","chr13",0.40006747625395,3.8381137807848,7.77998254677062,3.158366253046e-13,5.44693506298341e-11,19.5665425655282
"ENSG00000145685","ENSG00000145685","10184","LHFPL2","chr5",0.44991554006285,5.12824922516179,7.78601406622729,3.04342773217769e-13,5.31869430475374e-11,19.561177143559
"ENSG00000198840","ENSG00000198840","4537","ND3",NA,-0.520655064023487,6.19694645165688,-7.76517783371586,3.45901036190965e-13,5.8879543913701e-11,19.4340512020109
"ENSG00000181817","ENSG00000181817","84967","LSM10","chr1",-0.351888125946768,3.98814661364302,-7.74904708805153,3.81885511869283e-13,6.34873349029202e-11,19.3698913803035
"ENSG00000109062","ENSG00000109062","9368","SLC9A3R1","chr17",-0.359318853272249,5.17451996948367,-7.74871750367211,3.82658080211391e-13,6.34873349029202e-11,19.335608229092
"ENSG00000104450","ENSG00000104450","6674","SPAG1","chr8",0.50065705277361,3.08024014726398,7.72290206139398,4.48226934040075e-13,7.34363803057909e-11,19.2524941300746
"ENSG00000157796","ENSG00000157796","57728","WDR19","chr4",0.257859709140936,4.22533033198768,7.71267239935014,4.77180212959411e-13,7.66161890322492e-11,19.14561935415
"ENSG00000187866","ENSG00000187866","116224","FAM122A","chr9",-0.221559115678283,4.92756479113326,-7.71193882761223,4.79326123494654e-13,7.66161890322492e-11,19.1193392316533
"ENSG00000170296","ENSG00000170296","11337","GABARAP","chr17",-0.368148026969364,2.94947573641845,-7.69760421337955,5.23226903460059e-13,8.2625723176518e-11,19.1037653426682
"ENSG00000140749","ENSG00000140749","10261","IGSF6","chr16",-0.407929575875958,8.56232800167583,-7.68747305403034,5.56629219806316e-13,8.68540379047783e-11,19.0054592288543
"ENSG00000102755","ENSG00000102755","2321","FLT1","chr13",0.783905980621665,2.92857992760996,7.64902832715789,7.03688404388436e-13,1.08508751956697e-10,18.817348964158
"ENSG00000114670","ENSG00000114670","79858","NEK11","chr3",0.58095818325504,1.98723888089247,7.61829236032664,8.48365047004194e-13,1.29296751989349e-10,18.5583215379386
"ENSG00000168995","ENSG00000168995","27036","SIGLEC7","chr19",-0.392762758359978,3.47175012710295,-7.53887295478174,1.37273229266451e-12,2.04459115454019e-10,18.1481005134684
"ENSG00000106603","ENSG00000106603","55744","COA1","chr7",0.353322522980465,6.36340014050953,7.54014760069438,1.36219984178604e-12,2.04459115454019e-10,18.094080354349
"ENSG00000161905","ENSG00000161905","246","ALOX15","chr17",-1.46614302724204,1.21050933435703,-7.52189386477971,1.52094780492405e-12,2.23989470552129e-10,17.8957894376968
"ENSG00000146066","ENSG00000146066","192286","HIGD2A","chr5",-0.370971657423475,4.80768423065819,-7.49450078754995,1.79406563110287e-12,2.55595850292014e-10,17.8318146842035
"ENSG00000154330","ENSG00000154330","5239","PGM5","chr9",1.61182776197901,1.66110358682519,7.51542446841031,1.5814890810421e-12,2.30317526502431e-10,17.7772074077526
"ENSG00000107554","ENSG00000107554","23268","DNMBP","chr10",0.376593780567863,3.83001064036023,7.4763555692268,2.00110323176843e-12,2.82026452245042e-10,17.7706239949603
"ENSG00000264364","ENSG00000264364","140735","DYNLL2","chr17",-0.275863574150354,5.70964553090853,-7.47318901175498,2.03957805424301e-12,2.8439095273365e-10,17.6978347656441
"ENSG00000023902","ENSG00000023902","51177","PLEKHO1","chr1",-0.307913046093773,6.90651521293372,-7.46504512025034,2.14191772630538e-12,2.95517006722995e-10,17.661255865073
"ENSG00000153234","ENSG00000153234","4929","NR4A2","chr2",0.645146882047379,1.19681191567423,7.49565748351944,1.78160988719291e-12,2.55595850292014e-10,17.5929634678675
"ENSG00000133246","ENSG00000133246","84106","PRAM1","chr19",-0.520370134601135,4.10911689232922,-7.44189121062827,2.46141211526731e-12,3.32595140152666e-10,17.5492811254102
"ENSG00000250479","ENSG00000250479","400916","CHCHD10","chr22",-0.432596279726578,2.64916331508398,-7.4304789319122,2.63577036583112e-12,3.45470421849486e-10,17.5416780215616
"ENSG00000164023","ENSG00000164023","166929","SGMS2","chr4",0.447642599446392,5.12460668142474,7.44431881520511,2.42581902745616e-12,3.31200104092374e-10,17.5331042551379
"ENSG00000143420","ENSG00000143420","2029","ENSA","chr1",0.204019480799596,5.92488507359033,7.43639094563577,2.54397535270533e-12,3.39274990773165e-10,17.4815879448051
"ENSG00000172775","ENSG00000172775","80011","PSME3IP1","chr16",-0.18277958867763,6.3015719188839,-7.43517345958424,2.56261723403855e-12,3.39274990773165e-10,17.4776871116412
"ENSG00000182551","ENSG00000182551","55256","ADI1","chr2",-0.278622746528869,4.71271259689954,-7.40337923833951,3.10018365394174e-12,4.02317892596183e-10,17.3008463918302
"ENSG00000070718","ENSG00000070718","10947","AP3M2","chr8",0.305801264586874,4.68560328790863,7.39270983322847,3.30443184587297e-12,4.24619492194676e-10,17.2409496945098
"ENSG00000049249","ENSG00000049249","3604","TNFRSF9","chr1",-0.583410331570388,3.60717323116634,-7.37323861017027,3.71199981024346e-12,4.72360985561757e-10,17.1750547581231
"ENSG00000074319","ENSG00000074319","7251","TSG101","chr11",-0.238597371507836,5.72427545678736,-7.37067506911346,3.7692297413994e-12,4.75031675197326e-10,17.098207368119
"ENSG00000120594","ENSG00000120594","84898","PLXDC2","chr10",0.348092277644465,8.38310507532956,7.34944026367434,4.27802508148728e-12,5.34019759457655e-10,17.0118138648082
"ENSG00000214212","ENSG00000214212","255809","C19orf38","chr19",-0.351920552450773,5.8717518299923,-7.29226745100629,6.00977758997326e-12,7.43114668601693e-10,16.6435634823571
"ENSG00000160799","ENSG00000160799","151903","CCDC12","chr3",-0.262527232661207,4.23935637210594,-7.27715181884165,6.57320328794949e-12,8.05186686870598e-10,16.584284734709
"ENSG00000173166","ENSG00000173166","65059","RAPH1","chr2",0.663706963989743,2.89654012128326,7.25690095899124,7.41047359567963e-12,8.91092453381403e-10,16.5427086580125
"ENSG00000134086","ENSG00000134086","7428","VHL","chr3",-0.195508449383143,6.47339024662041,-7.27229998313419,6.76487155463584e-12,8.20992328394556e-10,16.5327306711963
"ENSG00000084444","ENSG00000084444","57613","FAM234B","chr12",0.376439714934911,2.44033566580921,7.23789834185927,8.29145147238269e-12,9.70321914718928e-10,16.4337445157731
"ENSG00000140350","ENSG00000140350","8125","ANP32A","chr15",-0.287155843462879,7.44459117966196,-7.2523275287031,7.6136650207776e-12,9.07202794793928e-10,16.4320983079135
"ENSG00000100592","ENSG00000100592","23002","DAAM1","chr14",0.297610480532183,3.99622081868934,7.24680564969891,7.86633169028043e-12,9.28864950130681e-10,16.4273874216669
"ENSG00000008226","ENSG00000008226","9940","DLEC1","chr3",0.577329667559141,2.35220369621421,7.22818086712277,8.7811163031594e-12,1.00959729285535e-09,16.3704302879055
"ENSG00000197629","ENSG00000197629","219972","MPEG1","chr11",-0.374242005710099,7.83373867341317,-7.23501904766784,8.433660474854e-12,9.7822998091957e-10,16.3424386080473
"ENSG00000169228","ENSG00000169228","53917","RAB24","chr5",-0.407693081644503,3.98529597958666,-7.2178380409291,9.33365169920533e-12,1.06379280714334e-09,16.2562040937566
"ENSG00000177191","ENSG00000177191","374907","B3GNT8","chr19",-0.491945121359644,4.66102350765667,-7.2029947932239,1.01870224523724e-11,1.13153646850208e-09,16.1438340030525
"ENSG00000140263","ENSG00000140263","6652","SORD","chr15",-0.376927106589356,2.1228539042674,-7.17734081658218,1.18470647918265e-11,1.28330147294603e-09,16.0836158767287
"ENSG00000145703","ENSG00000145703","10788","IQGAP2","chr5",0.325355601800486,7.88181518996972,7.188998729683,1.10619932941307e-11,1.21839954711068e-09,16.0754636567898
"ENSG00000162444","ENSG00000162444","116362","RBP7","chr1",-0.452681825066159,3.3993578256,-7.17936762606599,1.17067339183104e-11,1.27866801222745e-09,16.0700882316582
"ENSG00000124882","ENSG00000124882","2069","EREG","chr4",0.926156090704208,1.11488076939661,7.21215081007368,9.6519487693974e-12,1.08430142895525e-09,15.9963173798816
"ENSG00000104774","ENSG00000104774","4125","MAN2B1","chr19",-0.326119633744211,5.62062611924411,-7.17145450396765,1.22640928932493e-11,1.31758578321163e-09,15.9474022150454
"ENSG00000117632","ENSG00000117632","3925","STMN1","chr1",-0.543393573864029,3.35650521874663,-7.12826429264825,1.58001268776402e-11,1.67009889504218e-09,15.7798460408975
"ENSG00000161929","ENSG00000161929","388325","SCIMP","chr17",-0.360402377546794,4.66197140723564,-7.12855993341979,1.57727980928453e-11,1.67009889504218e-09,15.7155940475695
"ENSG00000229474","ENSG00000229474","197135","PATL2","chr15",0.35045774509423,4.74815697711031,7.10110915607972,1.8519988534964e-11,1.94193191782218e-09,15.5609173713912
"ENSG00000116586","ENSG00000116586","28956","LAMTOR2","chr1",-0.289591405625717,4.04628315670795,-7.08093429033096,2.0834863632203e-11,2.13399473598304e-09,15.4703963544594
"ENSG00000105700","ENSG00000105700","79036","KXD1","chr19",-0.194718538904887,4.75764974183111,-7.08089112346375,2.0840110338432e-11,2.13399473598304e-09,15.4430232471161
"ENSG00000074660","ENSG00000074660","8578","SCARF1","chr17",-0.559089408953088,5.14258084509357,-7.07610828907771,2.14295796090214e-11,2.1771677990444e-09,15.4073371745617
"ENSG00000164548","ENSG00000164548","29896","TRA2A","chr7",-0.223649128201157,6.55146309476944,-7.07479779362227,2.15939432269606e-11,2.1771677990444e-09,15.4017698033625
"ENSG00000215458","ENSG00000215458","284837","AATBC","chr21",-0.533986977749984,4.57680600785216,-7.04956875977831,2.50117817296834e-11,2.50251468038901e-09,15.2666314754558
"ENSG00000153823","ENSG00000153823","55022","PID1","chr2",-0.703896720349705,3.1122326587742,-7.0305394397319,2.79375416720692e-11,2.77407089921069e-09,15.2341950739899
"ENSG00000197006","ENSG00000197006","51108","METTL9","chr16",-0.426661720285398,7.63303783048439,-7.02134047891976,2.94703777797122e-11,2.90427249292247e-09,15.1185940285619
"ENSG00000110446","ENSG00000110446","51296","SLC15A3","chr11",-0.348965516772219,5.89337836510653,-7.01772184631279,3.00958166784965e-11,2.9437751433213e-09,15.0727636822541
"ENSG00000184489","ENSG00000184489","11156","PTP4A3","chr8",-0.467293541665468,4.00011617739313,-7.00616895649076,3.21814560785352e-11,3.12446181349156e-09,15.0493311461254
"ENSG00000179094","ENSG00000179094","5187","PER1","chr17",0.733926849392869,2.41291328544183,6.98638027745159,3.60897830819322e-11,3.42774483228178e-09,15.0152354431568
"ENSG00000179833","ENSG00000179833","9792","SERTAD2","chr2",0.354594716010158,5.38199059680271,7.00403655357586,3.25816999146507e-11,3.14006132927446e-09,14.9962549027169
"ENSG00000087116","ENSG00000087116","9509","ADAMTS2","chr5",2.9768696049334,0.33650881817508,7.21167520949382,9.67904685952268e-12,1.08430142895525e-09,14.9832334261172
"ENSG00000145494","ENSG00000145494","4726","NDUFS6","chr5",-0.320280636846493,3.72643823493346,-6.9898824566662,3.53655596618011e-11,3.38347730282648e-09,14.9731664884501
"ENSG00000160633","ENSG00000160633","6294","SAFB","chr19",-0.256015276514267,5.96794677931902,-6.96905826404318,3.98923811683562e-11,3.7616506472924e-09,14.7981430445996
"ENSG00000114346","ENSG00000114346","1894","ECT2","chr3",0.428694962914151,3.83942163839072,6.9527321550897,4.38365193262229e-11,4.05609237631858e-09,14.7661691323456
"ENSG00000119138","ENSG00000119138","687","KLF9","chr9",0.394983882932554,5.1267404093286,6.95682854668244,4.28122036909926e-11,4.00813966984171e-09,14.7346493621108
"ENSG00000134905","ENSG00000134905","79587","CARS2","chr13",-0.28078905957627,6.94295973098229,-6.9523104787733,4.39433216935407e-11,4.05609237631858e-09,14.7156881933478
"ENSG00000170909","ENSG00000170909","126014","OSCAR","chr19",-0.349453262192048,4.1444115996567,-6.94391167740233,4.6124783800797e-11,4.2276751138255e-09,14.6942361945841
"ENSG00000143753","ENSG00000143753","8560","DEGS1","chr1",-0.252920061276651,6.15768253561101,-6.93453752733669,4.86857175136445e-11,4.43141457952318e-09,14.6055734434597
"ENSG00000106244","ENSG00000106244","11333","PDAP1","chr7",-0.260535759662587,4.02618048871351,-6.92622172117197,5.10744429714432e-11,4.57929241754423e-09,14.6014958399505
"ENSG00000181826","ENSG00000181826","768211","RELL1","chr4",0.413872965435761,5.05937441666855,6.92525841094096,5.13585096039522e-11,4.57929241754423e-09,14.5609619950842
"ENSG00000100941","ENSG00000100941","5411","PNN","chr14",-0.232669200337006,5.99843970647118,-6.92583134722698,5.11893717385279e-11,4.57929241754423e-09,14.5553852446075
"ENSG00000113312","ENSG00000113312","7265","TTC1","chr5",-0.2736995191848,5.07609746249,-6.9173191502556,5.37597327806995e-11,4.76100552403127e-09,14.5121642784358
"ENSG00000167674","ENSG00000167674","84717","HDGFL2","chr19",-0.31800685055806,3.83056655057939,-6.90678920999553,5.71158331705782e-11,4.95772996931635e-09,14.5034160547544
"ENSG00000114738","ENSG00000114738","7867","MAPKAPK3","chr3",-0.244855367263446,6.77978841587383,-6.91404317101079,5.47824794900579e-11,4.81901985688718e-09,14.4986971160886
"ENSG00000115414","ENSG00000115414","2335","FN1","chr2",2.64090611647579,0.254585107116307,7.0898204309834,1.97820711223945e-11,2.05780639842242e-09,14.3538570445599
"ENSG00000153487","ENSG00000153487","3621","ING1","chr13",-0.213631316711458,4.86507293166596,-6.88567697186369,6.44784130411559e-11,5.55999052454231e-09,14.3398968769644
"ENSG00000078808","ENSG00000078808","51150","SDF4","chr1",-0.235178265091015,4.96395386021893,-6.88401300218798,6.50969299903394e-11,5.57663700250574e-09,14.3279175906708
"ENSG00000116990","ENSG00000116990","4610","MYCL","chr1",-0.434883526338551,4.24568397994379,-6.83508338127068,8.61414772894078e-11,7.2842344698856e-09,14.0765041563076
"ENSG00000130309","ENSG00000130309","79709","COLGALT1","chr19",-0.237833283051191,5.96764335524672,-6.8377456342875,8.48411644636892e-11,7.22086456250373e-09,14.0631386779796
"ENSG00000179918","ENSG00000179918","22928","SEPHS2","chr16",-0.32124861591459,5.14380447659576,-6.82625618854871,9.05948851351896e-11,7.61171256068545e-09,14.0030519203526
"ENSG00000153208","ENSG00000153208","10461","MERTK","chr2",0.616604635811858,2.46909410441641,6.80145147521662,1.04358574444959e-10,8.44338169907456e-09,14.0030044767692
"ENSG00000106605","ENSG00000106605","644","BLVRA","chr7",-0.473729762587909,3.88802767413662,-6.8141849070964,9.70538687277266e-11,8.10245259499562e-09,13.9805536297648
"ENSG00000134153","ENSG00000134153","56851","EMC7","chr15",-0.286479329166368,4.28795395431506,-6.81284006447523,9.78009371527896e-11,8.11314483076971e-09,13.9544960411714
"ENSG00000197451","ENSG00000197451","3182","HNRNPAB","chr5",-0.313859201191848,4.41988474757484,-6.80830264552438,1.00363518054124e-10,8.22165394459628e-09,13.9225493229558
