"","NGenes","Direction","PValue","FDR"
"GO_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE",52,"Down",0.000163809004049811,0.0306777862584395
"GO_SPECIFICATION_OF_SYMMETRY",64,"Up",0.000179140236351236,0.0325049018531345
"GO_LARGE_RIBOSOMAL_SUBUNIT",111,"Down",0.000180110725105724,0.0325049018531345
"GO_TRANSLATION_REGULATOR_ACTIVITY",117,"Down",0.000183207693624905,0.0325049018531345
"GO_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING",92,"Down",0.000188000847910317,0.0327802168089145
"GO_CYTOPLASMIC_TRANSLATION",91,"Down",0.000204595012188192,0.0350689721738845
"GO_RNA_PROCESSING",828,"Down",0.000230470911116807,0.0388458720687378
"GO_MITOCHONDRIAL_MEMBRANE_ORGANIZATION",118,"Down",0.000248341530180514,0.0411717687658284
"GO_ORGANELLAR_RIBOSOME",84,"Down",0.000257480071478142,0.0419156899779945
"GO_INTRACILIARY_TRANSPORT_PARTICLE_A",7,"Up",0.000261118211076205,0.0419156899779945
"GO_MOTOR_ACTIVITY",92,"Up",0.000280957394375115,0.0443956582705552
"GO_MRNA_CIS_SPLICING_VIA_SPLICEOSOME",29,"Down",0.000310874106330143,0.0459139527555911
"GO_MITOCHONDRIAL_TRANSLATION",134,"Down",0.000312216072040929,0.0459139527555911
"GO_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION",87,"Down",0.00031238715442811,0.0459139527555911
"GO_RNA_BINDING",1477,"Down",0.000315179340386627,0.0459139527555911
"GO_PRECATALYTIC_SPLICEOSOME",51,"Down",0.00031643269439814,0.0459139527555911
"GO_RETINA_MORPHOGENESIS_IN_CAMERA_TYPE_EYE",23,"Up",0.000317806456332579,0.0459139527555911
"GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",97,"Down",0.000341201297311682,0.0484288865651702
"GO_MHC_PROTEIN_COMPLEX",19,"Down",0.000349753278483148,0.0484288865651702
"GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY",10,"Up",0.000354043620147305,0.0484288865651702
"GO_CILIUM_MOVEMENT",29,"Up",0.000354369386514644,0.0484288865651702
"GO_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION",75,"Down",0.000366185967344111,0.0493765158366799
